 'city', 'lat', 'lng', 'stateId', 'stateName', 'countyName', 'countyFips'
 'Dunseith',48.8131,-100.061, 'ND', 'North Dakota', 'Rolette', '38079'
 'Mylo',48.6353,-99.6188, 'ND', 'North Dakota', 'Rolette', '38079'
 'Antler',48.9709,-101.282, 'ND', 'North Dakota', 'Bottineau', '38009'
 'Bottineau',48.8272,-100.446, 'ND', 'North Dakota', 'Bottineau', '38009'
 'Gardena',48.7008,-100.498, 'ND', 'North Dakota', 'Bottineau', '38009'
 'Kramer',48.6906,-100.707, 'ND', 'North Dakota', 'Bottineau', '38009'
 'Landa',48.8967,-100.912, 'ND', 'North Dakota', 'Bottineau', '38009'
 'Lansford',48.6289,-101.376, 'ND', 'North Dakota', 'Bottineau', '38009'
 'Maxbass',48.7217,-101.142, 'ND', 'North Dakota', 'Bottineau', '38009'
 'Newburg',48.715,-100.913, 'ND', 'North Dakota', 'Bottineau', '38009'
 'Overly',48.6819,-100.15, 'ND', 'North Dakota', 'Bottineau', '38009'
 'Canton City',48.6879,-97.6677, 'ND', 'North Dakota', 'Pembina', '38067'
 'Crystal',48.5969,-97.6695, 'ND', 'North Dakota', 'Pembina', '38067'
 'Drayton',48.5711,-97.1778, 'ND', 'North Dakota', 'Pembina', '38067'
 'Hamilton',48.8086,-97.4529, 'ND', 'North Dakota', 'Pembina', '38067'
 'Mountain',48.6878,-97.8651, 'ND', 'North Dakota', 'Pembina', '38067'
 'Neche',48.9861,-97.5548, 'ND', 'North Dakota', 'Pembina', '38067'
 'Pembina',48.9664,-97.2437, 'ND', 'North Dakota', 'Pembina', '38067'
 'Cando',48.4867,-99.2099, 'ND', 'North Dakota', 'Towner', '38095'
 'Egeland',48.6264,-99.0974, 'ND', 'North Dakota', 'Towner', '38095'
 'Hansboro',48.95,-99.3829, 'ND', 'North Dakota', 'Towner', '38095'
 'Perth',48.7164,-99.4579, 'ND', 'North Dakota', 'Towner', '38095'
 'Rocklake',48.7902,-99.2461, 'ND', 'North Dakota', 'Towner', '38095'
 'Alsen',48.6306,-98.7048, 'ND', 'North Dakota', 'Cavalier', '38019'
 'Calio',48.6311,-98.9329, 'ND', 'North Dakota', 'Cavalier', '38019'
 'Calvin',48.8525,-98.9354, 'ND', 'North Dakota', 'Cavalier', '38019'
 'Hannah',48.9717,-98.6918, 'ND', 'North Dakota', 'Cavalier', '38019'
 'Langdon',48.76,-98.3682, 'ND', 'North Dakota', 'Cavalier', '38019'
 'Loma',48.6303,-98.5329, 'ND', 'North Dakota', 'Cavalier', '38019'
 'Milton',48.6264,-98.0426, 'ND', 'North Dakota', 'Cavalier', '38019'
 'Munich',48.6692,-98.8326, 'ND', 'North Dakota', 'Cavalier', '38019'
 'Nekoma',48.5772,-98.3704, 'ND', 'North Dakota', 'Cavalier', '38019'
 'Osnabrock',48.6689,-98.1512, 'ND', 'North Dakota', 'Cavalier', '38019'
 'Ambrose',48.9539,-103.483, 'ND', 'North Dakota', 'Divide', '38023'
 'Crosby',48.9142,-103.295, 'ND', 'North Dakota', 'Divide', '38023'
 'Fortuna',48.91,-103.779, 'ND', 'North Dakota', 'Divide', '38023'
 'Noonan',48.8889,-103.009, 'ND', 'North Dakota', 'Divide', '38023'
 'Bowbells',48.8031,-102.246, 'ND', 'North Dakota', 'Burke', '38013'
 'Flaxton',48.8986,-102.392, 'ND', 'North Dakota', 'Burke', '38013'
 'Lignite',48.8775,-102.563, 'ND', 'North Dakota', 'Burke', '38013'
 'Portal',48.9959,-102.55, 'ND', 'North Dakota', 'Burke', '38013'
 'Powers Lake',48.5628,-102.648, 'ND', 'North Dakota', 'Burke', '38013'
 'Glenburn',48.5131,-101.221, 'ND', 'North Dakota', 'Renville', '38075'
 'Grano',48.615,-101.587, 'ND', 'North Dakota', 'Renville', '38075'
 'Loraine',48.8656,-101.568, 'ND', 'North Dakota', 'Renville', '38075'
 'Mohall',48.7634,-101.513, 'ND', 'North Dakota', 'Renville', '38075'
 'Burlington',48.2753,-101.429, 'ND', 'North Dakota', 'Ward', '38101'
 'Carpio',48.4425,-101.715, 'ND', 'North Dakota', 'Ward', '38101'
 'Des Lacs',48.2578,-101.563, 'ND', 'North Dakota', 'Ward', '38101'
 'Donnybrook',48.5095,-101.885, 'ND', 'North Dakota', 'Ward', '38101'
 'Douglas',47.8572,-101.503, 'ND', 'North Dakota', 'Ward', '38101'
 'Kenmare',48.6747,-102.083, 'ND', 'North Dakota', 'Ward', '38101'
 'Makoti',47.9611,-101.805, 'ND', 'North Dakota', 'Ward', '38101'
 'Minot',48.2325,-101.296, 'ND', 'North Dakota', 'Ward', '38101'
 'Alamo',48.5817,-103.47, 'ND', 'North Dakota', 'Williams', '38105'
 'Epping',48.2792,-103.357, 'ND', 'North Dakota', 'Williams', '38105'
 'Grenora',48.6184,-103.938, 'ND', 'North Dakota', 'Williams', '38105'
 'Ray',48.3445,-103.165, 'ND', 'North Dakota', 'Williams', '38105'
 'Anamoose',47.8825,-100.241, 'ND', 'North Dakota', 'McHenry', '38049'
 'Upham',48.5817,-100.728, 'ND', 'North Dakota', 'McHenry', '38049'
 'Velva',48.0561,-100.929, 'ND', 'North Dakota', 'McHenry', '38049'
 'Voltaire',48.0206,-100.842, 'ND', 'North Dakota', 'McHenry', '38049'
 'Deering',48.3956,-101.052, 'ND', 'North Dakota', 'McHenry', '38049'
 'Drake',47.9242,-100.372, 'ND', 'North Dakota', 'McHenry', '38049'
 'Granville',48.2678,-100.843, 'ND', 'North Dakota', 'McHenry', '38049'
 'Karlsruhe',48.09,-100.62, 'ND', 'North Dakota', 'McHenry', '38049'
 'Kief',47.8575,-100.512, 'ND', 'North Dakota', 'McHenry', '38049'
 'New Town',47.9808,-102.49, 'ND', 'North Dakota', 'Mountrail', '38061'
 'Palermo',48.3397,-102.229, 'ND', 'North Dakota', 'Mountrail', '38061'
 'Parshall',47.9533,-102.135, 'ND', 'North Dakota', 'Mountrail', '38061'
 'Plaza',48.0258,-101.961, 'ND', 'North Dakota', 'Mountrail', '38061'
 'Brocket',48.2131,-98.357, 'ND', 'North Dakota', 'Ramsey', '38071'
 'Crary',48.0708,-98.6384, 'ND', 'North Dakota', 'Ramsey', '38071'
 'Edmore',48.4133,-98.4543, 'ND', 'North Dakota', 'Ramsey', '38071'
 'Hampden',48.5403,-98.6543, 'ND', 'North Dakota', 'Ramsey', '38071'
 'Lawton',48.3028,-98.3693, 'ND', 'North Dakota', 'Ramsey', '38071'
 'Ardoch',48.2072,-97.3423, 'ND', 'North Dakota', 'Walsh', '38099'
 'Edinburg',48.4967,-97.862, 'ND', 'North Dakota', 'Walsh', '38099'
 'Fairdale',48.4908,-98.2312, 'ND', 'North Dakota', 'Walsh', '38099'
 'Fordville',48.2175,-97.7906, 'ND', 'North Dakota', 'Walsh', '38099'
 'Forest River',48.2153,-97.4681, 'ND', 'North Dakota', 'Walsh', '38099'
 'Grafton',48.4122,-97.4106, 'ND', 'North Dakota', 'Walsh', '38099'
 'Hoople',48.5347,-97.6348, 'ND', 'North Dakota', 'Walsh', '38099'
 'Lankin',48.3111,-97.9251, 'ND', 'North Dakota', 'Walsh', '38099'
 'Minto',48.2917,-97.3715, 'ND', 'North Dakota', 'Walsh', '38099'
 'Park River',48.3986,-97.7412, 'ND', 'North Dakota', 'Walsh', '38099'
 'Pisek',48.3108,-97.7093, 'ND', 'North Dakota', 'Walsh', '38099'
 'Brinsmade',48.1825,-99.324, 'ND', 'North Dakota', 'Benson', '38005'
 'Esmond',48.0358,-99.7621, 'ND', 'North Dakota', 'Benson', '38005'
 'Knox',48.3403,-99.6904, 'ND', 'North Dakota', 'Benson', '38005'
 'Leeds',48.2889,-99.4376, 'ND', 'North Dakota', 'Benson', '38005'
 'Maddock',47.9625,-99.5301, 'ND', 'North Dakota', 'Benson', '38005'
 'Minnewaukan',48.0714,-99.2524, 'ND', 'North Dakota', 'Benson', '38005'
 'Oberon',47.9231,-99.204, 'ND', 'North Dakota', 'Benson', '38005'
 'Aneta',47.6794,-97.9882, 'ND', 'North Dakota', 'Nelson', '38063'
 'Lakota',48.0428,-98.3362, 'ND', 'North Dakota', 'Nelson', '38063'
 'McVille',47.7639,-98.1773, 'ND', 'North Dakota', 'Nelson', '38063'
 'Pekin',47.7908,-98.3282, 'ND', 'North Dakota', 'Nelson', '38063'
 'Petersburg',48.0111,-98.0015, 'ND', 'North Dakota', 'Nelson', '38063'
 'Emerado',47.9189,-97.3651, 'ND', 'North Dakota', 'Grand Forks', '38035'
 'Gilby',48.0853,-97.4706, 'ND', 'North Dakota', 'Grand Forks', '38035'
 'Grand Forks',47.9253,-97.0329, 'ND', 'North Dakota', 'Grand Forks', '38035'
 'Inkster',48.1514,-97.6442, 'ND', 'North Dakota', 'Grand Forks', '38035'
 'Larimore',47.9067,-97.6268, 'ND', 'North Dakota', 'Grand Forks', '38035'
 'Manvel',48.0778,-97.1765, 'ND', 'North Dakota', 'Grand Forks', '38035'
